;y;x;frame;video_path
0;209.13131313131314;356.645342312009;0;video\static_50-mbar.mp4
1;214.2995057660626;244.01911037891267;0;video\static_50-mbar.mp4
2;238.0488245931284;456.36618444846295;0;video\static_50-mbar.mp4
3;318.1436931079324;303.35825747724317;0;video\static_50-mbar.mp4
4;325.16065573770493;489.34098360655736;0;video\static_50-mbar.mp4
5;331.0663293985385;386.079820123665;0;video\static_50-mbar.mp4
6;343.2296781232951;212.35733769776323;0;video\static_50-mbar.mp4
7;424.0978450786255;440.44088526499706;0;video\static_50-mbar.mp4
8;428.6621717530163;259.1007806955287;0;video\static_50-mbar.mp4
9;454.5524790727624;341.6664520283323;0;video\static_50-mbar.mp4
10;208.95462280204197;356.5127623369257;1;video\static_50-mbar.mp4
11;214.26253298153034;244.01451187335093;1;video\static_50-mbar.mp4
12;238.16981132075472;456.34681042228215;1;video\static_50-mbar.mp4
13;318.09669046073975;303.38157040882544;1;video\static_50-mbar.mp4
14;325.1267759562842;489.34207650273225;1;video\static_50-mbar.mp4
15;331.18073654390935;385.92917847025495;1;video\static_50-mbar.mp4
16;343.1566593886463;212.3613537117904;1;video\static_50-mbar.mp4
17;423.87711124053584;440.6156086196855;1;video\static_50-mbar.mp4
18;428.68678977272725;259.08664772727275;1;video\static_50-mbar.mp4
19;454.7297124600639;341.6932907348243;1;video\static_50-mbar.mp4
20;208.90836653386455;356.57142857142856;2;video\static_50-mbar.mp4
21;214.45833333333334;243.9672619047619;2;video\static_50-mbar.mp4
22;237.9689497716895;456.3744292237443;2;video\static_50-mbar.mp4
23;318.0803629293584;303.4400518470512;2;video\static_50-mbar.mp4
24;325.22100656455143;489.269693654267;2;video\static_50-mbar.mp4
25;331.2611644997174;385.9513849632561;2;video\static_50-mbar.mp4
26;343.16129032258067;212.37069436850737;2;video\static_50-mbar.mp4
27;423.78199883109295;440.45996493278784;2;video\static_50-mbar.mp4
28;428.81947405828004;259.13006396588486;2;video\static_50-mbar.mp4
29;454.5789817232376;341.6527415143603;2;video\static_50-mbar.mp4
30;209.0254381006218;356.6031656302996;3;video\static_50-mbar.mp4
31;214.5575191730577;244.14704901633877;3;video\static_50-mbar.mp4
32;237.98163452708908;456.742883379247;3;video\static_50-mbar.mp4
33;317.93896103896105;303.51428571428573;3;video\static_50-mbar.mp4
34;325.2309380142622;489.3011519473396;3;video\static_50-mbar.mp4
35;331.2082625919638;385.9496321448783;3;video\static_50-mbar.mp4
36;343.19596069868993;212.42903930131004;3;video\static_50-mbar.mp4
37;423.88713450292397;440.48362573099416;3;video\static_50-mbar.mp4
38;428.8388928317956;259.2555003548616;3;video\static_50-mbar.mp4
39;454.5022950819672;341.6373770491803;3;video\static_50-mbar.mp4
40;209.60456062291436;356.83592880978864;4;video\static_50-mbar.mp4
41;214.6101468624833;244.06108144192257;4;video\static_50-mbar.mp4
42;237.98275862068965;456.5907441016334;4;video\static_50-mbar.mp4
43;317.8147905759162;303.434554973822;4;video\static_50-mbar.mp4
44;325.3867102396514;489.2309368191721;4;video\static_50-mbar.mp4
45;331.1608154020385;386.0118912797282;4;video\static_50-mbar.mp4
46;343.02228260869566;212.48260869565217;4;video\static_50-mbar.mp4
47;423.80825101685065;440.4328878558977;4;video\static_50-mbar.mp4
48;428.6790469516468;259.1114225648213;4;video\static_50-mbar.mp4
49;454.70671834625324;341.6892764857881;4;video\static_50-mbar.mp4
50;209.24438356164384;356.8772602739726;5;video\static_50-mbar.mp4
51;214.63432586149213;244.0247574439612;5;video\static_50-mbar.mp4
52;238.2316176470588;456.5064338235294;5;video\static_50-mbar.mp4
53;317.7339027595269;303.3988173455979;5;video\static_50-mbar.mp4
54;325.4644420131291;489.0082056892779;5;video\static_50-mbar.mp4
55;331.3917525773196;385.8201603665521;5;video\static_50-mbar.mp4
56;343.1370835608957;212.5565264882578;5;video\static_50-mbar.mp4
57;423.74022183304146;440.4413309982487;5;video\static_50-mbar.mp4
58;428.678496868476;259.1106471816284;5;video\static_50-mbar.mp4
59;454.77269800386347;341.7211848036059;5;video\static_50-mbar.mp4
60;209.61742424242425;357.15800865800867;6;video\static_50-mbar.mp4
61;214.55443886097152;244.12964824120604;6;video\static_50-mbar.mp4
62;238.94001874414246;455.92783505154637;6;video\static_50-mbar.mp4
63;317.82272727272726;303.6577922077922;6;video\static_50-mbar.mp4
64;325.20324324324326;489.0091891891892;6;video\static_50-mbar.mp4
65;331.3375796178344;385.7405906195715;6;video\static_50-mbar.mp4
66;343.2174386920981;212.71280653950953;6;video\static_50-mbar.mp4
67;423.5788856304985;440.3483870967742;6;video\static_50-mbar.mp4
68;428.70159611380984;259.36641221374043;6;video\static_50-mbar.mp4
69;455.08504983388707;341.75215946843855;6;video\static_50-mbar.mp4
70;209.81709308655417;357.2242787152967;7;video\static_50-mbar.mp4
71;214.71343085106383;243.89960106382978;7;video\static_50-mbar.mp4
72;238.98116760828626;455.6572504708098;7;video\static_50-mbar.mp4
73;317.7983083929733;303.68640208197786;7;video\static_50-mbar.mp4
74;325.1097890751758;488.9096809085992;7;video\static_50-mbar.mp4
75;330.96954022988507;385.9132183908046;7;video\static_50-mbar.mp4
76;343.29195898542906;212.69670804101457;7;video\static_50-mbar.mp4
77;423.39550029603316;440.6429840142096;7;video\static_50-mbar.mp4
78;428.68268551236747;259.4409893992933;7;video\static_50-mbar.mp4
79;455.14940239043824;342.01660026560427;7;video\static_50-mbar.mp4
80;210.07991120976692;357.2225305216426;8;video\static_50-mbar.mp4
81;214.92619926199262;243.67930224756793;8;video\static_50-mbar.mp4
82;239.17460317460316;455.8674136321195;8;video\static_50-mbar.mp4
83;317.76747224036575;303.81319399085567;8;video\static_50-mbar.mp4
84;325.0080213903743;488.8903743315508;8;video\static_50-mbar.mp4
85;330.76997716894977;386.1175799086758;8;video\static_50-mbar.mp4
